accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_002687795.1	Candidatus Woesearchaeota archaeon	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GCA-2687795; g__GCA-2687795; s__GCA-2687795 sp002687795	True	False
GCA_002688265.1	archaeon	d__Archaea; p__; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GW2011-AR9; g__GCA-2688265; s__GCA-2688265 sp002688265	True	False
GCA_002688315.1	Candidatus Woesearchaeota archaeon	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__UBA10216; g__UBA492; s__UBA492 sp002688315	True	False
GCA_002688775.1	Candidatus Woesearchaeota archaeon	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GW2011-AR4; g__GCA-2688775; s__GCA-2688775 sp002688775	True	False
GCA_002688925.1	archaeon	d__Archaea; p__; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GW2011-AR4; g__GCA-2688925; s__GCA-2688925 sp002688925	True	False
GCA_002762705.1	Candidatus Woesearchaeota archaeon CG11_big_fil_rev_8_21_14_0_20_43_8	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__CG08-08-20-14; g__CG08-08-20-14; s__CG08-08-20-14 sp002762705	True	False
GCA_002762785.1	Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_45_16	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GW2011-AR9; g__PCXY01; s__PCXY01 sp002762785	True	False
GCA_002762795.1	Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_37_12	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__ARS49; g__1-14-0-10-37-12; s__1-14-0-10-37-12 sp002762795	True	False
GCA_002762845.1	Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_36_11	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GW2011-AR9; g__PCYB01; s__PCYB01 sp002762845	True	False
GCA_002762865.1	Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_33_12	d__Archaea; p__Candidatus Woesearchaeota; c__; o__; f__; g__; s__	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__CG1-02-33-12; g__CG1-02-33-12; s__CG1-02-33-12 sp002762865	True	False
