bins	profileElos1	profileElos10	profileElos12	profileElos2	profileElos3	profileElos7
bin1	0.2812624752800062	0.6653327861228114	0.8165562364212959	0.9372283435726698	0.9700227667684233	0.9433317610912239
bin10	0.04221481686101748	0.1858237997988554	0.9999872260180465	0.14128594307685535	0.0007817220741935683	0.002345394329401304
bin100	0.9105860906683031	0.954848194732024	0.0013077439837008438	0.022370464468089005	0.9994821578014612	0.9988496524405603
bin101	0.47285659985904677	0.14318633545291132	0.9772114021681462	0.9955902615553954	0.0011363366407196535	0.0031125527584868907
bin102	0.0020460180983202167	0.9078917127166467	0.5215718757985288	0.9996056427701651	0.00031512889949707857	0.0016477351404054492
bin103	0.9980397408615687	0.9984999468895307	0.6514636889566309	0.998821404992994	0.03170135957718984	0.9389567579133329
bin104	0.7053628563080013	0.9234898049594324	0.30781701816140516	0.9068365264074015	0.017338219384244475	0.6250467362150421
bin105	0.5050318589090692	0.24135629731613523	0.016361321022286882	0.0173199015698077	0.9447123626805807	0.9964375894937367
bin106	0.011998401569368256	0.849364623823882	0.1698804809823083	0.9992182221092019	0.0006633487121735024	0.00259163730155847
bin107	0.9956968150270252	0.007860895280477141	0.9685782191543862	0.19086521031342638	0.9999535559331111	0.9999545037712109
bin108	0.8063196004013125	0.12828985186428213	0.09142783694716886	0.9100372749311806	0.999871644274335	0.9996042216358839
bin109	0.3977050660144124	0.9992246927400987	0.294583688784562	0.6327797378203985	0.002826462433015433	0.0036566821871013614
bin11	0.6515074565759196	0.9839423366626282	0.00998283012992447	0.08888160261497144	0.9999096785280809	0.9999250617471425
bin110	0.7788891673260278	0.7241949372772515	0.9942749683581917	0.9992978703236701	0.0150789034941149	0.11710051872337444
bin111	0.0030842957502773103	0.026875304010593275	0.9999934208708399	0.00541681634185506	0.00015614466540084222	0.0012465256715426785
bin112	0.9996709095624084	0.7154968925286601	0.07250641675305149	0.1702330041975196	0.012042600025456013	0.999793595294313
bin113	0.36778431013464274	0.47358292812838265	0.03980486463856752	0.01901861547094363	0.49730014696755276	0.9993123075162986
bin114	0.04915217861530887	0.16323240149300522	0.9093975573484546	0.9907497049860313	0.0018105775794782985	0.009043101903578266
bin114-removed	0.06269138275351281	0.15327772013889304	0.9478179517472578	0.9593395983136128	0.0018698987088223477	0.016490851409620564
bin115	0.43245438471734376	0.8756130939839859	0.21990923142715332	0.5205594824158036	0.004769016032365093	0.9625848791910144
bin116	0.05336354060834501	0.9949715310803133	0.10506508054880125	0.01107936101447028	0.00048000483865467383	0.003313706325833204
bin117	0.17848412264862823	0.998538067862331	0.06620132465514858	0.5193772777204706	0.9950256094927799	0.9741875295709468
bin118	0.9938807642115556	0.30982365237074194	0.2191807399594258	0.9982415281151475	0.034191653417818	0.06716839062097
bin119	0.1732594799544957	0.266809056585656	0.7391777215568024	0.9980228561826254	0.0064915666314137145	0.005281607961388015
bin12	0.9997720355781715	0.011039242634063388	0.1063440926426448	0.9882139773633949	0.9989165139261369	0.9976915326938975
bin12-removed	0.9982917039838126	0.004063422562775732	0.14178856934354994	0.9372574385510997	0.9916409592994327	0.9901980296546921
bin120	0.05700226205416985	0.992749877088069	0.0013020951787275936	0.28521342771809405	0.21305393925322547	0.1907925416684301
bin121	0.9061256368543374	0.9560538784521057	0.15291714329693984	0.6472043396104246	0.8257967839048667	0.8832611401035664
bin122	0.3251217721025733	0.8553532265235876	0.387960173653263	0.9687853763569784	0.03308454356069122	0.01859178993750281
bin123	0.5112802376179704	0.9940180558086521	0.01616590312123136	0.24699437409973407	0.550393128207152	0.9979977969963473
bin124	0.02530691126108986	0.9725552240001603	0.6328880700138185	0.7683030260549136	0.001275959786113392	0.001348807401918571
bin125	0.6293832745911762	0.671369810466087	0.99818682375453	0.9878328914952557	0.00720019246052542	0.0313217977981884
bin126	0.41509729234251597	0.9259163576875393	0.016030120948921	0.2602410627223846	0.8069110868119544	0.7934745569009656
bin127	0.016905688776067948	0.9982699041571781	0.05578480300381922	0.1803315662229137	0.0007416340343855829	0.0022801362903569163
bin127-removed	0.02219173491401881	0.9851845645784024	0.033586075445615066	0.07021971807385376	0.000603927975479826	0.006967862653512906
bin128	0.4813725268781259	0.29192660054010044	0.48555688552057175	0.9901252892636643	0.018789476426339033	0.026844025812302906
