bins	5S_rRNA_arc	5S_rRNA_bac	5S_rRNA_euk	5_8S_rRNA_arc	5_8S_rRNA_euk
bin233	0	0	0	0	0
bin234	0	0	0	0	0
bin235	0	0	0	0	0
bin236	0	0	0	0	0
bin237	0	0	0	0	0
bin238	0	0	0	0	0
bin239	0	0	0	0	0
bin24	0	0	0	0	0
bin240	0	0	0	0	0
bin241	0	0	0	0	0
bin242	0	0	0	0	0
bin243	0	0	0	0	0
bin243-removed_1	0	0	0	0	0
bin243-removed_2	0	0	0	0	0
bin244	0	0	0	0	0
bin245	0	0	0	0	0
bin246	0	0	0	0	0
bin247	0	0	0	0	0
bin248	0	0	0	0	0
bin249	0	0	0	0	0
bin25	0	0	0	0	0
bin250	0	0	0	0	0
bin251	0	0	0	0	0
bin252	0	0	0	0	0
bin252-removed	0	0	0	0	0
bin253	0	0	0	0	0
bin254	0	0	0	0	0
bin255	0	0	0	0	0
bin256	0	0	0	0	0
bin257	0	0	0	0	0
bin258	0	0	0	0	0
bin259	0	0	0	0	0
bin26	0	0	0	0	0
bin260	0	0	0	0	0
bin261	0	0	0	0	0
bin262	0	0	0	0	0
bin263	0	0	0	0	0
bin264	0	0	0	0	0
bin265	0	0	0	0	0
bin266	0	0	0	0	0
bin267	0	0	0	0	0
bin268-removed_1	0	0	0	0	0
bin268-removed_2	0	0	0	0	0
bin268_1	0	0	0	0	0
bin269	0	0	0	0	0
bin269-removed	0	0	0	0	0
bin27	0	0	0	0	0
bin270	0	0	0	0	0
bin271	0	0	0	0	0
bin272	0	0	0	0	0
bin273	0	0	0	0	0
bin274	0	0	0	0	0
bin275	0	0	0	0	0
bin276	0	0	0	0	0
bin276-removed_1	0	0	0	0	0
bin276-removed_2	0	0	0	0	0
bin277	0	0	0	0	0
bin278	0	0	0	0	0
bin279	0	0	0	0	0
bin28	0	0	0	0	0
bin280	0	0	0	0	0
bin281	0	0	0	0	0
bin282	0	0	0	0	0
bin283	0	0	0	0	0
bin284	0	0	0	0	0
bin285	0	0	0	0	0
bin286	0	0	0	0	0
bin287	0	0	0	0	0
bin288	0	0	0	0	0
bin289	0	0	0	0	0
bin29	0	0	0	0	0
bin3	0	0	0	0	0
bin30	0	0	0	0	0
bin31	0	0	0	0	0
bin32	0	0	0	0	0
bin33	0	0	0	0	0
bin34	0	0	0	0	0
bin35	0	0	0	0	0
bin36	0	0	0	0	0
bin37	0	0	0	0	0
bin38	0	0	0	0	0
bin39	0	0	0	0	0
bin4	0	0	0	0	0
bin40	0	0	0	0	0
bin41	0	0	0	0	0
bin42	0	0	0	0	0
bin43	0	0	0	0	0
bin44	0	0	0	0	0
bin45	0	0	0	0	0
bin46	0	0	0	0	0
bin47	0	0	0	0	0
bin48	0	0	0	0	0
bin49	0	0	0	0	0
bin5	0	0	0	0	0
bin50	0	0	0	0	0
bin51	0	0	0	0	0
bin52	0	0	0	0	0
bin53	0	0	0	0	0
bin54	0	0	0	0	0
bin55	0	0	0	0	0
bin56	0	0	0	0	0
bin57	0	0	0	0	0
bin58	0	0	0	0	0
bin59	0	0	0	0	0
bin6	0	0	0	0	0
bin60	0	0	0	0	0
bin61	0	0	0	0	0
bin62	0	0	0	0	0
bin63	0	0	0	0	0
bin64	0	0	0	0	0
bin65	0	0	0	0	0
bin66	0	0	0	0	0
bin67	0	0	0	0	0
bin68	0	0	0	0	0
bin69	0	0	0	0	0
bin7	0	0	0	0	0
bin70	0	0	0	0	0
bin71	0	0	0	0	0
bin72	0	0	0	0	0
bin73	0	0	0	0	0
bin74	0	0	0	0	0
bin75	0	0	0	0	0
bin76	0	0	0	0	0
bin77	0	0	0	0	0
bin78	0	0	0	0	0
bin79	0	0	0	0	0
bin8	0	0	0	0	0
bin80	0	0	0	0	0
bin81	0	0	0	0	0
bin82	0	0	0	0	0
bin83	0	0	0	0	0
bin84	0	0	0	0	0
bin85	0	0	0	0	0
bin86	0	0	0	0	0
bin87	0	0	0	0	0
bin88	0	0	0	0	0
bin89	0	0	0	0	0
bin9	0	0	0	0	0
bin90	0	0	0	0	0
bin91	0	0	0	0	0
bin92	0	0	0	0	0
bin93	0	0	0	0	0
bin94	0	0	0	0	0
bin95	0	0	0	0	0
bin96	0	0	0	0	0
bin97	0	0	0	0	0
bin98	0	0	0	0	0
bin99	0	0	0	0	0
