accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_002428385.1	Bacteroidales bacterium UBA6117	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp002428385	True	False
GCA_002428785.1	Bacteroidales bacterium UBA6074	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp002403305	False	False
GCA_003141415.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141415	True	False
GCA_003141475.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003142255	False	False
GCA_003141495.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141495	True	False
GCA_003141525.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141525	True	False
GCA_003141595.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003142255	False	False
GCA_003141715.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141715	True	False
GCA_003141755.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141525	False	False
GCA_003141895.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141895	True	False
GCA_003142255.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003142255	True	False
GCA_003152835.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003152835	True	False
GCA_003152935.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003157075	False	False
GCA_003154675.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003152835	False	False
GCA_003154725.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003141895	False	False
GCA_003155705.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003155705	True	False
GCA_003157015.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003157015	True	False
GCA_003157055.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003157055	True	False
GCA_003157075.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003157075	True	False
GCA_003161895.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003157015	False	False
GCA_003162595.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003162595	True	False
GCA_003170015.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003152835	False	False
GCA_003245695.1	Bacteroidetes bacterium	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp003245695	True	False
GCA_003250475.1	Bacteroidetes bacterium	d__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__SR-FBR-E99; s__SR-FBR-E99 sp003250475	True	False
GCA_003453755.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp001768195	False	False
GCA_003488885.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003520925	False	False
GCA_003501665.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003501665	True	False
GCA_003508665.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp001768195	False	False
GCA_003518245.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__UBA9300; s__UBA9300 sp003518245	True	False
GCA_003520925.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__LD21; s__LD21 sp003520925	True	False
GCA_003521565.1	Bacteroidales bacterium	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__VadinHA17; g__UBA8202; s__UBA8202 sp003521565	False	False
