Genomic bins	Elos1_final_pure_reads	Elos10_final_pure_reads	Elos3_final_pure_reads	Elos12_final_pure_reads	Elos2_final_pure_reads	Elos7_final_pure_reads
bin.250	3.614654	0.295487	2.073137	0.167773	2.6303574999999997	0.185766
bin.209	0.0510085	1.064427	0.001539	0.819269	1.643561	0.002055
bin.65	5.867468	1.388249	0.031279	0.0	3.352248	0.020262
bin.226	0.92346	0.221346	12.944352	0.013293	0.044783	10.379087
bin.273	1.340714	2.106767	0.405042	0.039123	0.159043	6.68881
bin.154	0.111356	0.855823	0.049437	6.987332	1.802903	0.003457
bin.91	0.007564	0.001534	1.430195	0.000929	0.002779	1.033564
bin.286	0.007459	1.351629	0.001336	0.921421	3.675299	0.002111
bin.51	0.342796	1.25075	0.0	0.0	0.032156	0.0
bin.109	0.081499	2.131364	0.0	0.081929	0.241444	0.000771
bin.111	0.001384	0.0125885	0.0	13.359693	0.006256	0.00097
bin.276	0.003088	3.131172	0.000603	0.00355	0.024284	0.002578
bin.75	0.010639	0.304447	0.001335	3.339495	0.021761	0.006384
bin.158	10.223269	29.698599	0.690651	1.892758	5.862251	38.672287
bin.125	0.158715	0.303588	0.0	3.536804	4.107437	0.004615
bin.135	0.159332	8.264821	0.00449	0.496997	12.779752	0.021346
bin.100	0.410775	0.904876	4.556082	0.001593	0.007083	2.496499
bin.199	0.006136	3.825636	0.0	0.635756	0.229913	0.002072
bin.167	0.02587	0.337341	0.0	0.27226	0.8471975	0.0
bin.115	0.095355	0.653609	0.0	0.073292	0.182823	0.650991
bin.144	1.657593	21.896284	55.158532	0.154908	11.697175	56.91578
bin.23	0.742681	2.169483	0.001628	0.008492	1.112844	0.460891
bin.47	0.113547	0.017041	0.842076	0.003455	0.01777	6.115965
bin.165	0.031652	0.538708	0.006739	0.041739	1.28286	0.092302
bin.57	0.845208	0.429652	0.028577	0.016733	0.064879	0.323525
bin.280	0.092103	0.560458	0.010036	0.006539	2.233334	0.022386
bin.151	11.490815	0.977666	2.06465	0.18936	26.400019	1.367577
