accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_016764775.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__TMED27; s__TMED27 sp016764775	True	False
GCA_016794145.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1573; s__UBA1573 sp016794145	True	False
GCA_016794285.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1573; s__UBA1573 sp018063145	False	False
GCA_016794305.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1573; s__UBA1573 sp016794305	True	False
GCA_017302165.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UWPOB-MICAV1; s__UWPOB-MICAV1 sp017302165	True	False
GCA_017999645.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA7657; s__UBA7657 sp017999645	True	False
GCA_018000175.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__JAGNKE01; s__JAGNKE01 sp018000295	False	False
GCA_018000295.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__JAGNKE01; s__JAGNKE01 sp018000295	True	False
GCA_018002605.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__JAGNKE01; s__JAGNKE01 sp018000295	False	False
GCA_018057185.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1573; s__UBA1573 sp018063145	False	False
GCA_018063145.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1573; s__UBA1573 sp018063145	True	False
GCA_018399685.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA1672; s__UBA1672 sp018399685	True	False
GCA_018608245.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__GCA-2708415; s__GCA-2708415 sp018608245	True	False
GCA_018969935.1	Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA6145; s__UBA6145 sp018969935	True	False
GCA_900696495.1	uncultured Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA7657; s__UBA7657 sp900696495	True	False
GCA_902564855.1	uncultured Alphaproteobacteria bacterium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA2137; s__UBA2137 sp002695035	False	False
GCF_000226315.1	Micavibrio aeruginosavorus ARL-13	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__Micavibrio aeruginosavorus	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__Micavibrio; s__Micavibrio aeruginosavorus_B	True	False
GCF_000348745.1	Micavibrio aeruginosavorus EPB	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Micavibrio; s__Micavibrio aeruginosavorus	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__Micavibrio; s__Micavibrio aeruginosavorus_A	True	False
