accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_002408885.1	Lentisphaeria bacterium UBA5247	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__Victivallaceae; g__UBA5239; s__UBA5239 sp002408885	True	False
GCA_002409065.1	Lentisphaeria bacterium UBA5239	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__Victivallaceae; g__UBA5239; s__UBA5239 sp002408885	False	False
GCA_002483765.1	Lentisphaeria bacterium UBA7640	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__Victivallaceae; g__UBA7640; s__UBA7640 sp002483765	True	False
GCA_002998355.1	Victivallales bacterium CCUG 44730	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__Victivallales; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__Victivallaceae; g__Victivallis; s__Victivallis lenta	False	False
GCA_003245525.1	Victivallales bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__Victivallales; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA1407; f__Lenti-02; g__Lenti-02; s__Lenti-02 sp003245525	True	False
GCA_003246475.1	Lentisphaerae bacterium	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__SZUA-371; g__SZUA-371; s__SZUA-371 sp003246475	True	False
GCA_003343945.1	Lentisphaerae bacterium	d__Bacteria; p__Lentisphaerae; c__; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__Victivallaceae; g__Victivallis; s__Victivallis vadensis	False	False
GCA_003477185.1	Lentisphaeria bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__UBA12247; f__UBA12247; g__UBA12247; s__UBA12247 sp003477185	True	False
GCA_003488745.1	Lentisphaeria bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__GWF2-50-93; g__GWF2-50-93; s__GWF2-50-93 sp001804805	False	False
GCA_003504255.1	Lentisphaeria bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__GWF2-38-69; g__GWF2-38-69; s__GWF2-38-69 sp001803205	False	False
GCA_003506955.1	Lentisphaeria bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	Undefined (Failed Quality Check)	False	False
GCA_003516325.1	Lentisphaeria bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__GWF2-50-93; g__GWF2-50-93; s__GWF2-50-93 sp001804815	False	False
GCA_003522165.1	Lentisphaeria bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__UBA1829; g__UBA11452; s__UBA11452 sp003526375	False	False
GCA_003522995.1	Lentisphaeria bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__Victivallaceae; g__Victivallis; s__Victivallis lenta	False	False
GCA_003524125.1	Lentisphaeria bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__Victivallaceae; g__Victivallis; s__Victivallis lenta	False	False
GCA_003526375.1	Lentisphaeria bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Victivallales; f__UBA1829; g__UBA11452; s__UBA11452 sp003526375	True	False
GCA_003545375.1	Lentisphaeria bacterium	d__Bacteria; p__Lentisphaerae; c__Lentisphaeria; o__; f__; g__; s__	Undefined (Failed Quality Check)	False	False
