accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCF_014696715.1	Pseudanabaena sp. FACHB-2040	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Pseudanabaenaceae; g__Pseudanabaena; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__JACVSF01; s__JACVSF01 sp014534085	True	False
GCF_014697375.1	Phormidium sp. FACHB-1136	d__Bacteria; p__Cyanobacteria; c__; o__Oscillatoriales; f__Oscillatoriaceae; g__Phormidium; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp014697375	True	False
GCF_015207065.1	Leptolyngbya cf. ectocarpi LEGE 11479	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__Leptolyngbya ectocarpi	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Leptothoe; s__Leptothoe ectocarpi	True	False
GCF_015207105.1	cf. Phormidesmis sp. LEGE 11477	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Phormidesmis; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Phormidesmis; s__Phormidesmis sp015207105	True	False
GCF_015207255.1	Romeria aff. gracilis LEGE 07310	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Romeriaceae; g__Romeria; s__Romeria gracilis	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Romeria; s__Romeria gracilis	True	False
GCF_015207265.1	Nodosilinea sp. LEGE 07298	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Prochlorotrichaceae; g__Nodosilinea; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp015207265	True	False
GCF_015207395.1	Nodosilinea sp. LEGE 07088	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Prochlorotrichaceae; g__Nodosilinea; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp015207395	True	False
GCF_015207525.1	Nodosilinea sp. LEGE 06152	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Prochlorotrichaceae; g__Nodosilinea; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp015207525	True	False
GCF_016403105.1	Leptolyngbya sp. BL0902	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Nodosilinea; s__Nodosilinea sp016403105	True	False
GCF_016888165.1	Halomicronema sp. CCY15110	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Prochlorotrichaceae; g__Halomicronema; s__	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Halomicronema; s__Halomicronema sp016888165	True	False
GCF_018739865.1	Leptothoe kymatousa TAU-MAC 1615	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptothoe; s__Leptothoe kymatousa	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Leptothoe; s__Leptothoe kymatousa	True	False
GCF_018739885.1	Leptothoe spongobia TAU-MAC 1115	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Leptolyngbyaceae; g__Leptothoe; s__Leptothoe spongobia	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Phormidesmiales; f__Phormidesmiaceae; g__Leptothoe; s__Leptothoe spongobia	True	False
