accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_017751145.1	Halanaerobiaceae bacterium NS-1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__DTU029; g__Halocella; s__Halocella sp003953885	False	False
GCA_018334565.1	Halanaerobiales bacterium	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__; g__; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__M55B127; g__M55B127; s__M55B127 sp018334565	True	False
GCA_018399955.1	Halanaerobium sp.	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__Halanaerobium sp018399955	True	False
GCA_018399995.1	Halanaerobiales bacterium	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__; g__; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__M55B127; g__M55B127; s__M55B127 sp018399995	True	False
GCA_018436825.1	Halanaerobiales bacterium	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__; g__; s__	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__DY22613; f__DY22613; g__JAENYK01; s__JAENYK01 sp016841825	False	False
GCA_018609675.1	Halanaerobiales bacterium	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__; g__; s__	Undefined (Failed Quality Check)	False	False
GCA_902569035.1	uncultured Halanaerobiales bacterium	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__; g__; s__	Undefined (Failed Quality Check)	False	False
GCA_902578825.1	uncultured Halanaerobiales bacterium	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__; g__; s__	Undefined (Failed Quality Check)	False	False
GCF_000020485.1	Halothermothrix orenii H 168	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halothermothrix; s__Halothermothrix orenii	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__Halothermotrichaceae; g__Halothermothrix; s__Halothermothrix orenii	True	True
GCF_000144695.1	Acetohalobium arabaticum DSM 5501	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halobacteroidaceae; g__Acetohalobium; s__Acetohalobium arabaticum	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halobacteroidales; f__Acetohalobiaceae; g__Acetohalobium; s__Acetohalobium arabaticum	True	True
GCF_000165465.1	Halanaerobium praevalens DSM 2228	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__Halanaerobium praevalens	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__Halanaerobium praevalens	True	True
GCF_000166415.1	Halanaerobium hydrogeniformans	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__Halanaerobium hydrogeniformans	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__Halanaerobium hydrogeniformans	True	False
GCF_000328625.1	Halobacteroides halobius DSM 5150	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halobacteroidaceae; g__Halobacteroides; s__Halobacteroides halobius	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halobacteroidales; f__Halobacteroidaceae; g__Halobacteroides; s__Halobacteroides halobius	True	True
GCF_000350165.1	Halanaerobium saccharolyticum subsp. saccharolyticum DSM 6643	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__Halanaerobium saccharolyticum	d__Bacteria; p__Firmicutes_F; c__Halanaerobiia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halanaerobium; s__Halanaerobium saccharolyticum	True	True
