accession	ncbi_organism_name	ncbi_taxonomy	gtdb_taxonomy	gtdb_species_representative	ncbi_type_material
GCA_007134415.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__SLHB01; g__SKRY01; s__SKRY01 sp007118235	False	False
GCA_007136375.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__SLHB01; g__SLHB01; s__SLHB01 sp007136375	True	False
GCA_009885415.1	Rhodothermaeota bacterium	d__Bacteria; p__Rhodothermaeota; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__GCA-2746185; g__VFKU01; s__VFKU01 sp009885415	True	False
GCA_011046175.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__CAITNO01; g__SLFT01; s__SLFT01 sp011046175	True	False
GCA_011328705.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__SLHB01; g__DSVR01; s__DSVR01 sp011328705	True	False
GCA_011338105.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__Hydrogenedentaceae; g__Hydrogenedens; s__Hydrogenedens sp011338105	True	False
GCA_011370785.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__Hydrogenedentaceae; g__DTHQ01; s__DTHQ01 sp011370785	True	False
GCA_011682535.1	Nitrospiraceae bacterium	d__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__SLHB01; g__JAACEL01; s__JAACEL01 sp011682535	True	False
GCA_012515115.1	Candidatus Hydrogenedens sp.	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__Candidatus Hydrogenedens; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__CAITNO01; g__JAAYYZ01; s__JAAYYZ01 sp012515115	True	False
GCA_012522755.1	Candidatus Hydrogenedens sp.	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__Candidatus Hydrogenedens; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__CAITNO01; g__JAAYJV01; s__JAAYJV01 sp012522755	True	False
GCA_012523015.1	Candidatus Hydrogenedentes bacterium	d__Bacteria; p__Candidatus Hydrogenedentes; c__; o__; f__; g__; s__	d__Bacteria; p__Hydrogenedentota; c__Hydrogenedentia; o__Hydrogenedentiales; f__CAITNO01; g__JAAYBJ01; s__JAAYBJ01 sp012523015	True	False
