k_number	Elos10	Elos12	Elos01	Elos02	Elos03	Elos07
K00003	87.01110552253552	72.12245924465101	114.78197814240242	107.56777725916218	90.37093131571439	119.44532549343758
K00004	0.3472498382480096	2.4866792869635193	15.41131745039905	10.712815038291243	18.765507900021127	6.615539942334059
K00005	2.757443773352708	7.925681382237713	14.763883910393346	8.559116511681568	9.682795173777516	8.493337822628488
K00008	5.682304413608254	2.8364172020804057	6.325670661109067	9.977885272201467	1.6835634649647053	1.568418151812175
K00009	21.721984968591396	7.604969499968531	8.466777337901416	23.027308466937605	3.2631057258801697	8.300817502129851
K00010	18.694753678952424	13.588515081436178	6.255646515438512	26.9420600512479	19.84319841493411	21.400981278078774
K00012	134.25839671463052	142.94551065308332	141.48011975390165	148.57525523300487	215.25490695864795	189.8147808210262
K00013	95.5344611395047	94.07966184678236	104.34491756256524	107.58105222261803	118.74407853881006	119.92557174590745
K00014	135.12084608778835	148.33330428611316	129.71332446199008	142.6756270355998	159.21630980666777	173.04127806388402
K00015	10.04096602116403	11.938583501340126	14.8316655204843	19.54691830054939	21.7943251114465	29.94313049043487
K00016	36.86462905824918	48.258193620112166	30.434879944052067	50.76384383160937	36.46385590954607	45.017539913919656
K00018	42.88278895064081	17.17118009011547	24.583302785406065	32.74409621078404	40.529546292007424	47.11222332596245
K00019	19.99095575240928	7.321773358454151	24.146656479054233	10.351909848746311	70.91159338050315	81.48972549813371
K00020	86.18863301949317	56.63219996073356	66.2915757505428	51.75296943258646	85.46766072324594	116.7374101188611
K00021	17.33585627971565	74.95546567418154	92.17813984699443	25.400667537568925	83.6397593172882	80.62750746009549
K00022	0.6271025672371189	7.452014135651951	2.7658222758479707	8.18080821789304	0.5081048629630498	0.28291529373129065
K00023	34.41956697791739	6.201490362923045	35.372267381591875	11.558960511555501	73.7385654294811	69.50603660480078
K00024	76.95201450665274	76.23153577486083	31.752911249963756	45.53309246533727	108.72542974929459	107.20280609454014
K00027	28.59778412812857	41.57517772299852	32.18022631206652	51.07508257877232	52.566843373006535	38.10237975631426
K00029	42.365150694910135	49.961437477695625	62.40940407837026	50.924940569380965	68.01947985433904	55.59785938786198
K00030	15.840405152701505	48.69334147096481	11.008523829047437	16.54264841873928	14.299150947935704	18.974818033882507
K00031	93.0267212992092	111.77065801142813	111.7741342418013	91.15060125213736	150.72906902749713	167.11477910738202
K00033	130.54714083024382	150.18783258791188	102.30289355193494	141.82248598652362	95.92061731526864	105.59708574826405
K00034	21.465711420262174	27.110992974052888	10.014628726919604	10.695229534064824	14.093370210446263	23.46590232193025
K00036	91.33171957212565	76.07697015090874	37.76545653846677	92.31775191870365	73.4619465760877	87.15275906896083
K00038	21.542655550644966	60.04866907980561	41.38078499471454	23.295852206356187	39.122735771578924	34.211503555926456
K00039	2.4798658175660733	0.5458063267980203	0.40997846582182007	0.0	10.274003022508554	3.780673878408619
K00040	0.0	0.0	0.0	0.0	0.4388937195920982	0.23252800526991296
K00041	1.915499563013415	1.7404921408303509	2.9114833874547834	3.93959285255936	14.176824068037988	5.803343852825201
