OTU	Elos02	Classification
Otu48492	3994	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;Agrobacterium;Agrobacterium tumefaciens complex;Agrobacterium tumefaciens;;;
Otu48493	1286	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Flexistipes;Flexistipes sinusarabici;Flexistipes sinusarabici DSM 4947;;;;
Otu48494	2686	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas oleovorans/pseudoalcaligenes group;Pseudomonas furukawaii;;;
Otu48495	1133	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;Neorhizobium;Neorhizobium galegae;Neorhizobium galegae bv. officinalis;Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141;;
Otu48496	721	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia phytofirmans;Paraburkholderia phytofirmans OLGA172;;;;
Otu48497	1678	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales incertae sedis;Pseudorhodoplanes;Pseudorhodoplanes sinuspersici;;;;;
Otu48498	2132	Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Micrococcales;Ruaniaceae;Ruania;unclassified Ruania;Ruania sp. HY164;;;
Otu48499	2455	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Shinella;unclassified Shinella;Shinella sp. PSBB067;;;;
Otu48500	1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Herelleviridae;Harbinvirus;Lactobacillus virus Bacchae;Lactobacillus phage Bacchae;;;
Otu48501	103	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;;;;;;
Otu48502	212	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria;cyanobacterium endosymbiont of Epithemia turgida;cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko;;;;;
Otu48503	1991	Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Micrococcales;Ruaniaceae;Ruania;unclassified Ruania;Ruania sp. HY168;;;
Otu48504	618	Bacteria;PVC group;Verrucomicrobia;;;;;;;;;
Otu48505	2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;Tevenvirinae;Dhakavirus;unclassified Dhakavirus;Enterobacteria phage vB_EcoM_IME281;;
Otu48506	8299	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Thioalkalispiraceae;Sulfurivermis;Sulfurivermis fontis;;;;;
Otu48507	498	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales genera incertae sedis;Thiomonas;unclassified Thiomonas;;;;;
Otu48508	1239	Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium fortuitum;;;;
Otu48509	397	Bacteria;Terrabacteria group;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus;Solibacillus silvestris;Solibacillus silvestris StLB046;;;
Otu48510	18	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus lignieresii;;;;;
Otu48511	218	Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Micrococcales;Cellulomonadaceae;;;;;;
Otu48512	23	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCBAU 21365;;;;
Otu48513	471	Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Pseudarthrobacter;Pseudarthrobacter equi;;;;
