MAGS,Taxonomy,completeness,contamination,size,completeness_range,contamination_range
MAG_40,Bacteria,80,1.138,1607191,80-85,1-2
MAG_204,Bacteria,95.63,1.808,3125993,95-100,1-2
MAG_141,Bacteria,82.02,1.225,1211296,80-85,1-2
MAG_35,Bacteria,72.22,1.851,1554097,70-75,1-2
MAG_45,Bacteria,78.99,4.022,1600504,75-80,4-5
MAG_61,Bacteria,75.28,0,673974,75-80,0-1
MAG_20,Bacteria,97.72,3.475,8184525,95-100,3-4
MAG_110,Bacteria,97.66,2.272,5981801,95-100,2-3
MAG_125,Bacteria,95.17,1.306,4684597,95-100,1-2
MAG_192,Bacteria,94.18,2.376,4797937,90-95,2-3
MAG_216,Bacteria,97.72,3.977,3908564,95-100,3-4
MAG_221,Bacteria,97.72,0,4282487,95-100,0-1
MAG_254,Bacteria,96.59,1.807,4097602,95-100,1-2
MAG_258,Bacteria,96.59,3.512,4286503,95-100,3-4
MAG_98,Bacteria,96.02,0,3571282,95-100,0-1
MAG_97,Bacteria,76.56,4.612,3595682,75-80,4-5
MAG_208,Bacteria,72.78,2.651,3048682,70-75,2-3
MAG_166,Bacteria,82.99,2.272,2896122,80-85,2-3
MAG_240,Bacteria,95.45,0.267,2603181,95-100,0-1
MAG_37,Bacteria,96.59,1.807,3978790,95-100,1-2
MAG_245,Bacteria,96.59,1.704,3251815,95-100,1-2
MAG_288,Bacteria,95.22,2.272,3525716,95-100,2-3
MAG_44,Bacteria,85.58,2.442,3728252,85-90,2-3
MAG_122,Bacteria,71.56,1.136,2001690,70-75,1-2
MAG_32,Bacteria,83.33,2.272,2240912,80-85,2-3
MAG_7,Bacteria,97.72,2.376,6960550,95-100,2-3
MAG_239,Bacteria,94.31,0.309,2976044,90-95,0-1
MAG_255,Bacteria,97.72,1.136,3491944,95-100,1-2
MAG_264,Bacteria,95.45,4.545,4496677,95-100,4-5
MAG_198,Bacteria,86.5,4.679,3015587,85-90,4-5
MAG_260,Bacteria,95.63,2.688,5212162,95-100,2-3
MAG_129,Bacteria,99.13,0,3338126,95-100,0-1
MAG_142,Bacteria,95.74,1.014,2508951,95-100,1-2
MAG_18,Bacteria,95.31,0.434,2557121,95-100,0-1
MAG_113,Bacteria,94.44,1.449,2386241,90-95,1-2
MAG_76,Bacteria,94.19,0.579,2104185,90-95,0-1
MAG_276,Bacteria,91.45,4.621,2280563,90-95,4-5
MAG_137,Bacteria,85.01,3.072,1570739,85-90,3-4
MAG_265,Bacteria,77.95,5,3106678,75-80,4-5
MAG_94,Bacteria,97.8,1.098,1777799,95-100,1-2
MAG_259,Bacteria,97.46,0.434,3474468,95-100,0-1
MAG_189,Bacteria,98.79,1.023,3032999,95-100,1-2
MAG_1,Bacteria,99.12,0.974,3036004,95-100,0-1
MAG_139,Bacteria,87.11,0,1311032,85-90,0-1
MAG_47,Bacteria,94.67,0.84,1639872,90-95,0-1
MAG_158,Bacteria,95.93,4.379,5517511,95-100,4-5
MAG_178,Bacteria,74.36,3.783,3219107,70-75,3-4
MAG_64,Bacteria,97.12,1.947,3782540,95-100,1-2
MAG_171,Bacteria,99.25,1.091,2673261,95-100,1-2
MAG_88,Bacteria,96.68,1.413,2236526,95-100,1-2
MAG_107,Bacteria,95.28,0.176,2110065,95-100,0-1
MAG_152,Bacteria,86.37,1.975,2706773,85-90,1-2
MAG_273,Bacteria,95.67,4.107,4436438,95-100,4-5
MAG_237,Bacteria,95.74,2.934,3509057,95-100,2-3
MAG_50,Bacteria,83.97,2.445,2577079,80-85,2-3
MAG_116,Bacteria,81.88,4.09,1554151,80-85,4-5
MAG_182,Bacteria,76.97,4.457,2533222,75-80,4-5
MAG_75,Bacteria,86.59,3.902,2822398,85-90,3-4
MAG_176,Bacteria,91.24,3.361,2767361,90-95,3-4
MAG_161,Bacteria,97.56,0.914,2423099,95-100,0-1
MAG_279,Bacteria,93.76,4.015,3395643,90-95,4-5
MAG_53,Bacteria,88.69,4.724,3117364,85-90,4-5
MAG_77,Bacteria,77.06,1.098,2591215,75-80,1-2
MAG_124,Bacteria,84.85,2.993,3994640,80-85,2-3
MAG_5,Bacteria,93.83,2.462,3945710,90-95,2-3
MAG_280,Bacteria,89.09,2.272,4079706,85-90,2-3
MAG_103,Bacteria,80.39,4.597,3935194,80-85,4-5
MAG_23,Bacteria,99.2,4.8,4395336,95-100,4-5
MAG_57,Bacteria,95.81,4.847,4240203,95-100,4-5
MAG_67,Bacteria,90.13,0.4,4418068,90-95,0-1
MAG_123,Bacteria,100,0.533,3446204,95-100,0-1
MAG_278,Bacteria,99.17,1.866,4482375,95-100,1-2
MAG_120,Bacteria,88.62,0.047,2528233,85-90,0-1
MAG_226,Bacteria,100,4.797,4166736,95-100,4-5
MAG_30,Bacteria,100,3.6,4064371,95-100,3-4
MAG_55,Bacteria,98,2.8,4009918,95-100,2-3
MAG_249,Bacteria,96.56,4.494,4526104,95-100,4-5
MAG_16,Bacteria,98.28,3.296,3136627,95-100,3-4
MAG_49,Bacteria,96.11,2.875,4138135,95-100,2-3
MAG_93,Bacteria,85.24,3.914,4743603,85-90,3-4
MAG_70,Bacteria,77.6,2.434,2862669,75-80,2-3
MAG_119,Bacteria,97.25,0,2999276,95-100,0-1
MAG_172,Bacteria,96.61,0.847,5347779,95-100,0-1
MAG_234,Bacteria,97.29,3.013,5334268,95-100,3-4
MAG_153,Bacteria,94.59,1.549,4682359,90-95,1-2
MAG_15,Bacteria,95.94,3.864,5468086,95-100,3-4
MAG_173,Bacteria,92.9,4.338,3655346,90-95,4-5
MAG_48,Bacteria,82.73,4.864,4353327,80-85,4-5
MAG_78,Bacteria,95.27,4.054,4449150,95-100,4-5
MAG_164,Bacteria,92.11,0.945,2682139,90-95,0-1
MAG_263,Bacteria,73.16,4.054,2363283,70-75,4-5
MAG_212,Bacteria,94.93,4.828,3553468,90-95,4-5
MAG_100,Bacteria,97.97,3.04,3767557,95-100,3-4
MAG_215,Bacteria,95.19,3.851,3638078,95-100,3-4
MAG_272,Bacteria,97.07,1.689,3124390,95-100,1-2
MAG_59,Bacteria,97.97,1.351,3387291,95-100,1-2
MAG_63,Bacteria,92.22,2.056,3542513,90-95,2-3
MAG_169,Bacteria,97.29,0.705,3870240,95-100,0-1
MAG_187,Bacteria,96.84,2.543,3594130,95-100,2-3
MAG_6,Bacteria,92.34,1.824,3257192,90-95,1-2
MAG_27,Bacteria,85.47,0,2841322,85-90,0-1
MAG_244,Bacteria,100,4.395,3612287,95-100,4-5
MAG_46,Bacteria,100,2.747,3925950,95-100,2-3
MAG_159,Bacteria,82.9,0.099,3112074,80-85,0-1
