Cycle	Pathway	k_number	Detail	Elos10	Elos12	Elos01	Elos02	Elos03	Elos07
Carbon fixation	Calvin-Benson-Bassham cycle	K03841	FBP. fbp; fructose-1.6-bisphosphatase I [EC:3.1.3.11]	49.46804365	108.5743092	105.7200419	53.69612205	113.1099062	89.63973463
Carbon fixation	Calvin-Benson-Bassham cycle	K02446	glpX; fructose-1.6-bisphosphatase II [EC:3.1.3.11]	7.64258217	11.78849021	14.67531394	36.23920176	7.014023855	2.719776086
Carbon fixation	Calvin-Benson-Bassham cycle	K11532	glpX-SEBP; fructose-1.6-bisphosphatase II / sedoheptulose-1.7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	10.6408972	3.025460029	14.84704661	2.708186427	18.51358193	27.23208307
Carbon fixation	Calvin-Benson-Bassham cycle	K01086	fbp-SEBP; fructose-1.6-bisphosphatase I / sedoheptulose-1.7-bisphosphatase [EC:3.1.3.11 3.1.3.37]						
Carbon fixation	Calvin-Benson-Bassham cycle	K00615	E2.2.1.1. tktA. tktB; transketolase [EC:2.2.1.1]	312.1463579	294.5107908	132.181921	372.6664075	182.9874088	227.1514496
Carbon fixation	Calvin-Benson-Bassham cycle	K01100	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]	0	0.210092008	0.106478774	0	0	0.103584732
Carbon fixation	Calvin-Benson-Bassham cycle	K11532	glpX-SEBP; fructose-1.6-bisphosphatase II / sedoheptulose-1.7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	10.6408972	3.025460029	14.84704661	2.708186427	18.51358193	27.23208307
Carbon fixation	Calvin-Benson-Bassham cycle	K01086	fbp-SEBP; fructose-1.6-bisphosphatase I / sedoheptulose-1.7-bisphosphatase [EC:3.1.3.11 3.1.3.37]						
Carbon fixation	Calvin-Benson-Bassham cycle	K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	58.15603196	111.4805052	118.4348834	78.88856391	134.9897926	133.5961141
Carbon fixation	Calvin-Benson-Bassham cycle	K01808	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]	115.9247669	83.23062303	48.97416046	132.5473181	62.98651854	66.46189
Carbon fixation	Reductive citrate cycle	K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	57.01773779	71.56951428	73.85382794	94.48283703	36.34811067	59.65672284
Carbon fixation	Reductive citrate cycle	K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	44.86436819	52.74851291	20.83873687	76.9150417	5.254759235	17.06146764
Carbon fixation	Reductive citrate cycle	K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	35.35628462	39.83494477	19.43788916	65.65387062	1.862485747	1.580910803
Carbon fixation	Reductive citrate cycle	K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	65.80071031	75.11592639	30.97495325	93.96353087	27.31220246	46.10276935
Carbon fixation	Reductive citrate cycle	K03737	por. nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	115.2963235	81.7501244	55.25965066	144.9435026	45.80486617	59.29631203
Carbon fixation	Reductive citrate cycle	K01007	pps. ppsA; pyruvate. water dikinase [EC:2.7.9.2]	129.6590102	168.1329906	156.7365745	146.3465984	105.0876644	135.6562561
Carbon fixation	Reductive citrate cycle	K01006	ppdK; pyruvate. orthophosphate dikinase [EC:2.7.9.1]	186.8636395	144.7452708	79.66746347	176.056031	114.7029872	137.526838
Carbon fixation	Reductive citrate cycle	K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]	153.448603	288.9325894	340.804343	103.8914225	291.6268839	307.0022443
Carbon fixation	Reductive citrate cycle	K01959	pycA; pyruvate carboxylase subunit A [EC:6.4.1.1]	1.377054598	1.175202775	13.02181524	1.78477042	2.853544444	7.95902521
Carbon fixation	Reductive citrate cycle	K01960	pycB; pyruvate carboxylase subunit B [EC:6.4.1.1]	1.082145037	1.580020393	9.92919201	7.244342565	1.812825092	8.318486131
Carbon fixation	Reductive citrate cycle	K01958	PC. pyc; pyruvate carboxylase [EC:6.4.1.1]	15.80715013	7.70795167	9.122218082	12.31149724	42.63818091	31.72386446
Carbon fixation	Reductive citrate cycle	K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	76.95201451	76.23153577	31.75291125	45.53309247	108.7254297	107.2028061
Carbon fixation	Reductive citrate cycle	K01676	E4.2.1.2A. fumA. fumB; fumarate hydratase. class I [EC:4.2.1.2]	36.45387001	16.62318999	10.98375594	23.29211301	3.462266831	15.60687559
Carbon fixation	Reductive citrate cycle	K01679	E4.2.1.2B. fumC. FH; fumarate hydratase. class II [EC:4.2.1.2]	69.91919159	89.80665317	74.10947884	63.69831212	121.7016554	114.2703604
Carbon fixation	Reductive citrate cycle	K01677	E4.2.1.2AA. fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]	20.68636885	17.22581311	16.05023084	51.70055894	1.577553242	1.450652306
Carbon fixation	Reductive citrate cycle	K01678	E4.2.1.2AB. fumB; fumarate hydratase subunit beta [EC:4.2.1.2]	16.26442639	16.05883259	14.99164849	41.75258459	1.030266947	1.331835861
Carbon fixation	Reductive citrate cycle	K00239	sdhA. frdA; succinate dehydrogenase / fumarate reductase. flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	68.60354416	89.75273704	77.92849657	50.06139199	104.8794656	113.5851032
Carbon fixation	Reductive citrate cycle	K00240	sdhB. frdB; succinate dehydrogenase / fumarate reductase. iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	159.9637935	191.1655461	182.1979383	123.5646715	234.8886684	247.8127636
Carbon fixation	Reductive citrate cycle	K00241	sdhC. frdC; succinate dehydrogenase / fumarate reductase. cytochrome b subunit	112.515201	139.0810226	133.5746467	81.16289589	163.7243065	166.9287204
Carbon fixation	Reductive citrate cycle	K00242	sdhD. frdD; succinate dehydrogenase / fumarate reductase. membrane anchor subunit	28.98589205	119.0365217	92.41881891	25.67606469	102.4966526	111.8062216
Carbon fixation	Reductive citrate cycle	K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	2.66181547	0.605457623	0.800779641	2.608381449	0.129840454	0.387562474
Carbon fixation	Reductive citrate cycle	K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	8.305592193	3.295707918	4.936474498	4.242966942	3.847441404	12.60993486
Carbon fixation	Reductive citrate cycle	K00246	frdC; fumarate reductase subunit C	15.47501275	6.649575437	9.180664744	8.053865877	8.569195051	24.95413922
Carbon fixation	Reductive citrate cycle	K00247	frdD; fumarate reductase subunit D	3.637321364	0.764479034	6.541165182	1.805606936	10.09540703	21.23264054
Carbon fixation	Reductive citrate cycle	K18556	frdA; NADH-dependent fumarate reductase subunit A [EC:1.3.1.6]						
Carbon fixation	Reductive citrate cycle	K18557	frdB; NADH-dependent fumarate reductase subunit B [EC:1.3.1.6]						
Carbon fixation	Reductive citrate cycle	K18558	frdC; NADH-dependent fumarate reductase subunit C						
Carbon fixation	Reductive citrate cycle	K18559	frdD; NADH-dependent fumarate reductase subunit D						
Carbon fixation	Reductive citrate cycle	K18560	frdE; NADH-dependent fumarate reductase subunit E						
Carbon fixation	Reductive citrate cycle	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	107.6051192	149.1390738	122.3224531	108.6037662	162.7244269	169.0436318
Carbon fixation	Reductive citrate cycle	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	78.31073039	109.9899149	67.91083088	82.07982865	124.6270324	138.6513938
Carbon fixation	Reductive citrate cycle	K00174	korA. oorA. oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	209.7452436	290.732697	218.7134581	364.1669841	132.5698989	172.4244559
Carbon fixation	Reductive citrate cycle	K00175	korB. oorB. oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	190.5680477	253.720372	192.8074556	322.7942662	110.9295261	139.9776706
Carbon fixation	Reductive citrate cycle	K00177	korC. oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	105.4786571	104.6621558	40.67625846	178.4670583	14.30278705	23.4856287
Carbon fixation	Reductive citrate cycle	K00176	korD. oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	100.8809101	102.8953949	28.96211183	142.9720619	8.934430271	19.33352655
Carbon fixation	Reductive citrate cycle	K00031	IDH1. IDH2. icd; isocitrate dehydrogenase [EC:1.1.1.42]	93.0267213	111.770658	111.7741342	91.15060125	150.729069	167.1147791
Carbon fixation	Reductive citrate cycle	K01681	ACO. acnA; aconitate hydratase [EC:4.2.1.3]	41.14979529	39.61269309	28.50536974	21.31790411	60.71698349	85.15716967
Carbon fixation	Reductive citrate cycle	K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	7.726821969	2.986637331	12.19686584	12.08117971	11.13285679	6.018631763
Carbon fixation	Reductive citrate cycle	K15230	aclA; ATP-citrate lyase alpha-subunit [EC:2.3.3.8]						
Carbon fixation	Reductive citrate cycle	K15231	aclB; ATP-citrate lyase beta-subunit [EC:2.3.3.8]	6.240109836	4.966528757	1.390575758	17.65057542	0	0
Carbon fixation	Reductive citrate cycle	K15232	ccsA; citryl-CoA synthetase large subunit [EC:6.2.1.18]						
Carbon fixation	Reductive citrate cycle	K15233	ccsB; citryl-CoA synthetase small subunit						
Carbon fixation	Reductive citrate cycle	K15234	ccl; citryl-CoA lyase [EC:4.1.3.34]	0.314267091	0.526152336	0	0.483832049	0	0
Carbon fixation	Wood-Ljungdahl pathway	K00198	cooS. acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	39.09682565	39.42773382	22.50350381	69.84771027	1.543263902	5.158092314
