OTU	Elos12	Classification
Otu1	4593	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;Agrobacterium;Agrobacterium tumefaciens complex;Agrobacterium tumefaciens;;;;
Otu2	645	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Flexistipes;Flexistipes sinusarabici;Flexistipes sinusarabici DSM 4947;;;;;
Otu3	3908	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas oleovorans/pseudoalcaligenes group;Pseudomonas furukawaii;;;;
Otu4	25	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium;unclassified Bradyrhizobium;Bradyrhizobium sp. CCBAU 21365;;;;;
Otu5	1268	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;Paraburkholderia phytofirmans;Paraburkholderia phytofirmans OLGA172;;;;;
Otu6	2200	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales incertae sedis;Pseudorhodoplanes;Pseudorhodoplanes sinuspersici;;;;;;
Otu7	3944	Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Micrococcales;Ruaniaceae;Ruania;unclassified Ruania;Ruania sp. HY164;;;;
Otu8	3726	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Shinella;unclassified Shinella;Shinella sp. PSBB067;;;;;
Otu9	244	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;;;;;;;
Otu10	295	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;unclassified Cyanobacteria;cyanobacterium endosymbiont of Epithemia turgida;cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko;;;;;;
Otu11	2881	Bacteria;Terrabacteria group;Actinobacteria;Actinomycetia;Micrococcales;Ruaniaceae;Ruania;unclassified Ruania;Ruania sp. HY168;;;;
Otu12	14550	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Thioalkalispiraceae;Sulfurivermis;Sulfurivermis fontis;;;;;;
