1 	 1
2 	 7
3 	 7
4 	 6
5 	 9
6 	 8
7 	 2
8 	 9
9 	 16
10 	 17
11 	 19
12 	 24
13 	 29
14 	 18
15 	 13
16 	 21
17 	 12
18 	 14
19 	 19
20 	 8
21 	 7
22 	 8
23 	 4
24 	 5
25 	 2
26 	 2
27 	 1
28 	 1
