ko:K04898    KCNE4; potassium voltage-gated channel Isk-related subfamily E member 4
ko:K04899    KCNF1, KV5.1; potassium voltage-gated channel subfamily F member 1
ko:K04900    KCNG1, KV6.1; potassium voltage-gated channel subfamily G member 1
ko:K04905    KCNH2, KV11.1; potassium voltage-gated channel Eag-related subfamily H member 2
ko:K04908    KCNH5, KV10.2; potassium voltage-gated channel Eag-related subfamily H member 5
ko:K04909    KCNH6, KV11.2; potassium voltage-gated channel Eag-related subfamily H member 6
ko:K04910    KCNH7, KV11.3; potassium voltage-gated channel Eag-related subfamily H member 7
ko:K04912    KCNK1, K2P1.1; potassium channel subfamily K member 1
ko:K04913    KCNK2, K2P2.1; potassium channel subfamily K member 2
ko:K04914    KCNK3, K2P3.1; potassium channel subfamily K member 3
ko:K04915    KCNK4, K2P4.1; potassium channel subfamily K member 4
ko:K04916    KCNK5, K2P5.1; potassium channel subfamily K member 5
ko:K04917    KCNK6, K2P6.1; potassium channel subfamily K member 6
ko:K04918    KCNK7, K2P7.1; potassium channel subfamily K member 7
ko:K04919    KCNK9, K2P9.1; potassium channel subfamily K member 9
ko:K04920    KCNK10, K2P10.1; potassium channel subfamily K member 10
ko:K04921    KCNK12, K2P12.1; potassium channel subfamily K member 12
ko:K04922    KCNK13, K2P13.1; potassium channel subfamily K member 13
ko:K04923    KCNK15, K2P15.1; potassium channel subfamily K member 15
ko:K04924    KCNK16, K2P16.1; potassium channel subfamily K member 16
ko:K04925    KCNK17, K2P17.1; potassium channel subfamily K member 17
ko:K04926    KCNQ1, KV7.1; potassium voltage-gated channel KQT-like subfamily member 1
ko:K04928    KCNQ3, KV7.3; potassium voltage-gated channel KQT-like subfamily member 3
ko:K04929    KCNQ4, KV7.4; potassium voltage-gated channel KQT-like subfamily member 4
ko:K04930    KCNQ5, KV7.5; potassium voltage-gated channel KQT-like subfamily member 5
ko:K04934    KCNV1, KV8.1; potassium channel subfamily V member 1
ko:K04936    KCNMA1, KCA1.1; potassium large conductance calcium-activated channel subfamily M alpha member 1
ko:K04938    KCNMB2; potassium large conductance calcium-activated channel subfamily M beta member 2
ko:K04941    KCNMB4; potassium large conductance calcium-activated channel subfamily M beta member 4
ko:K04945    KCNN4, KCA3.1; potassium intermediate/small conductance calcium-activated channel subfamily N member 4
ko:K04946    KCNT1, KNA1.1; potassium channel subfamily T member 1
ko:K04947    KCNT2, KNA1.2; potassium channel subfamily T member 2
ko:K04954    HCN1; hyperpolarization activated cyclic nucleotide-gated potassium channel 1
ko:K04955    HCN2; hyperpolarization activated cyclic nucleotide-gated potassium channel 2
ko:K04956    HCN3; hyperpolarization activated cyclic nucleotide-gated potassium channel 3
ko:K04957    HCN4; hyperpolarization activated cyclic nucleotide-gated potassium channel 4
ko:K04980    TRPM5; transient receptor potential cation channel subfamily M member 5
ko:K04986    PKD2; polycystin 2
ko:K05003    KCNJ10, KIR4.1; potassium inwardly-rectifying channel subfamily J member 10
ko:K05004    KCNJ11, KIR6.2; potassium inwardly-rectifying channel subfamily J member 11
ko:K05008    KCNJ15, KIR4.2; potassium inwardly-rectifying channel subfamily J member 15
ko:K05019    CLNS1A; chloride channel, nucleotide-sensitive, 1A
ko:K05032    ABCC8, SUR1; ATP-binding cassette subfamily C (CFTR/MRP) member 8
ko:K05033    ABCC9, SUR2; ATP-binding cassette subfamily C (CFTR/MRP) member 9
ko:K05034    SLC6A1, GAT1; solute carrier family 6 (neurotransmitter transporter, GABA) member 1
ko:K05035    SLC6A2, NET; solute carrier family 6 (neurotransmitter transporter, noradrenalin) member 2
ko:K05038    SLC6A5_9, GLYT; solute carrier family 6 (neurotransmitter transporter, glycine) member 5/9
ko:K05040    SLC6A7, PROT; solute carrier family 6 (neurotransmitter transporter, L-proline) member 7
