k_number	Elos01	Elos02	Elos03	Elos07	Elos10	Elos12	Description	Category
K13040	3.223051392	7.17068516	1.94199062	8.426875577	9.310280763	5.194796847	ttrS; two-component system, LuxR family, sensor histidine kinase TtrS [EC:2.7.13.3]	osmosensors 
K22450	5.516996776	4.085732792	10.08358913	2.85105556	8.667093764	3.49649406	SNAT; aralkylamine N-acetyltransferase [EC:2.3.1.87]	other
K21355	7.591651438	6.415125419	5.582368481	7.130710717	2.890938121	0.731344633	ggp; 1,2-alpha-glucosylglycerol phosphorylase [EC:2.4.1.332]	compatible solutes
K08150	4.626036094	9.949350404	0.700147963	1.217727364	3.038681274	1.67799256	SLC2A13, ITR; MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13	compatible solutes
K10819	2.729393572	6.8728394	0	0.885246303	7.128363393	3.3673562	E2.7.13.3; histidine kinase [EC:2.7.13.3]	osmosensors 
K03826	0.0704908	5.775741056	0.240686897	0.231777577	4.78411446	5.220053659	yiaC; putative acetyltransferase [EC:2.3.1.-]	other
K18940	4.739351732	10.0899942	0.649564314	0.160328935	0	0	arlS; two-component system, OmpR family, sensor histidine kinase ArlS [EC:2.7.13.3]	osmosensors 
K05978	2.01674132	0.861952578	4.933047766	2.197377505	2.337688101	1.530609687	stpA; glucosylglycerol 3-phosphatase [EC:3.1.3.69]	compatible solutes
K08479	2.290888054	0.954745887	5.20193403	1.143434995	1.992396851	1.596820585	sasA; two-component system, OmpR family, clock-associated histidine kinase SasA [EC:2.7.13.3]	osmosensors 
K11745	0.21422048	0.4363249	4.805598604	3.272721035	2.89919991	0.377958818	kefC; glutathione-regulated potassium-efflux system ancillary protein KefC	alkali metal–cation transporters
K01546	0.14328895	3.814453053	0	0	0.518996679	4.383636827	kdpA; potassium-transporting ATPase potassium-binding subunit	alkali metal–cation transporters
K07678	1.081844718	0	0	1.451888537	2.294499614	2.01746507	barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]	osmosensors 
K10674	0.875129603	1.04427209	1.010758921	2.606722138	0.711160853	0.589470833	ectD; ectoine hydroxylase [EC:1.14.11.55]	compatible solutes
K01548	0.057874455	2.73567786	0	0	0.425007851	2.95152595	kdpC; potassium-transporting ATPase KdpC subunit	alkali metal–cation transporters
K11356	0	1.045511337	2.121791199	0.94481251	1.996516035	0	cikA; two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]	osmosensors 
K11747	0.304592256	0.84484185	0	2.170666219	0	2.302897377	kefB; glutathione-regulated potassium-efflux system protein KefB	alkali metal–cation transporters
K01547	0	2.165956878	0	0	0.391606452	2.949480038	kdpB; potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]	alkali metal–cation transporters
K00898	0	0	0	0.194888118	0	0.210968828	PDK2_3_4; pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]	other
